% Date and time of this run: 09-Feb-2005 23:55:14
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%error bar	freq (Hz)	pt est int (re)	pt est int (im)
3.533831e-04	5.000000e+01	1.271504e-05	2.850009e-06
3.533831e-04	5.025000e+01	-2.911315e-07	8.491341e-07
3.533831e-04	5.050000e+01	-5.437938e-06	-2.155815e-06
3.533831e-04	5.075000e+01	-1.211722e-06	1.513033e-06
3.533831e-04	5.100000e+01	1.865404e-06	5.341507e-06
3.533831e-04	5.125000e+01	-3.868503e-06	6.878767e-06
3.533831e-04	5.150000e+01	-2.107653e-06	-1.681444e-05
3.533831e-04	5.175000e+01	6.805678e-06	3.646293e-07
3.533831e-04	5.200000e+01	5.755275e-08	1.373433e-07
3.533831e-04	5.225000e+01	8.337006e-08	-7.237030e-07
3.533831e-04	5.250000e+01	1.774193e-08	-3.399724e-08
3.533831e-04	5.275000e+01	0.000000e+00	0.000000e+00
3.533831e-04	5.300000e+01	-3.518304e-06	-2.981742e-06
3.533831e-04	5.325000e+01	2.446878e-06	-4.224119e-06
3.533831e-04	5.350000e+01	3.810205e-06	4.258651e-07
3.533831e-04	5.375000e+01	1.072266e-06	-8.718534e-06
3.533831e-04	5.400000e+01	5.333004e-06	8.770386e-07
3.533831e-04	5.425000e+01	3.808123e-06	-2.253666e-06
3.533831e-04	5.450000e+01	3.552079e-06	-5.661848e-06
3.533831e-04	5.475000e+01	7.086700e-06	-1.265933e-06
3.533831e-04	5.500000e+01	-1.072058e-05	8.293311e-06
3.533831e-04	5.525000e+01	-1.071689e-05	4.680706e-07
3.533831e-04	5.550000e+01	5.279725e-07	-7.563942e-06
3.533831e-04	5.575000e+01	1.573272e-06	-4.533233e-06
3.533831e-04	5.600000e+01	1.162265e-05	-8.019511e-06
3.533831e-04	5.625000e+01	-1.277796e-05	-4.420175e-06
3.533831e-04	5.650000e+01	-1.923919e-05	9.124418e-06
3.533831e-04	5.675000e+01	-2.297647e-05	-1.818900e-06
3.533831e-04	5.700000e+01	3.510905e-06	9.462528e-06
3.533831e-04	5.725000e+01	-3.555023e-06	-1.045168e-05
3.533831e-04	5.750000e+01	-1.828923e-06	-4.271038e-06
3.533831e-04	5.775000e+01	-5.650116e-06	-1.199833e-05
3.533831e-04	5.800000e+01	7.527458e-06	5.061363e-06
3.533831e-04	5.825000e+01	-5.794849e-06	-4.149759e-06
3.533831e-04	5.850000e+01	4.316228e-06	4.249031e-06
