% Date and time of this run: 10-Feb-2005 00:18:25
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%error bar	freq (Hz)	sens integrand
3.533831e-04	5.000000e+01	1.159155e+03
3.533831e-04	5.025000e+01	1.358073e+03
3.533831e-04	5.050000e+01	1.617288e+03
3.533831e-04	5.075000e+01	1.763990e+03
3.533831e-04	5.100000e+01	1.452395e+03
3.533831e-04	5.125000e+01	1.477414e+03
3.533831e-04	5.150000e+01	1.579629e+03
3.533831e-04	5.175000e+01	1.269499e+03
3.533831e-04	5.200000e+01	2.520875e+01
3.533831e-04	5.225000e+01	3.494369e+00
3.533831e-04	5.250000e+01	7.488190e+00
3.533831e-04	5.275000e+01	0.000000e+00
3.533831e-04	5.300000e+01	1.057225e+03
3.533831e-04	5.325000e+01	1.201703e+03
3.533831e-04	5.350000e+01	1.986049e+03
3.533831e-04	5.375000e+01	2.424206e+03
3.533831e-04	5.400000e+01	2.886034e+03
3.533831e-04	5.425000e+01	3.139321e+03
3.533831e-04	5.450000e+01	3.259353e+03
3.533831e-04	5.475000e+01	3.404779e+03
3.533831e-04	5.500000e+01	3.390021e+03
3.533831e-04	5.525000e+01	2.830675e+03
3.533831e-04	5.550000e+01	2.754661e+03
3.533831e-04	5.575000e+01	3.160220e+03
3.533831e-04	5.600000e+01	3.829690e+03
3.533831e-04	5.625000e+01	4.206959e+03
3.533831e-04	5.650000e+01	4.142671e+03
3.533831e-04	5.675000e+01	3.541396e+03
3.533831e-04	5.700000e+01	3.519560e+03
3.533831e-04	5.725000e+01	3.603805e+03
3.533831e-04	5.750000e+01	3.167838e+03
3.533831e-04	5.775000e+01	2.122084e+03
3.533831e-04	5.800000e+01	2.020664e+03
3.533831e-04	5.825000e+01	2.631641e+03
3.533831e-04	5.850000e+01	2.269083e+03
3.533831e-04	5.875000e+01	1.505346e+03
3.533831e-04	5.900000e+01	1.065671e+03
3.533831e-04	5.925000e+01	8.229305e+02
3.533831e-04	5.950000e+01	5.039796e+02
3.533831e-04	5.975000e+01	5.661657e-01
3.533831e-04	6.000000e+01	0.000000e+00
3.533831e-04	6.025000e+01	4.816276e-01
3.533831e-04	6.050000e+01	8.901908e+02
3.533831e-04	6.075000e+01	8.859272e+02
3.533831e-04	6.100000e+01	6.873687e+02
3.533831e-04	6.125000e+01	8.208023e+02
3.533831e-04	6.150000e+01	1.054027e+03
3.533831e-04	6.175000e+01	1.083209e+03
3.533831e-04	6.200000e+01	6.823466e+02
3.533831e-04	6.225000e+01	6.200133e+02
3.533831e-04	6.250000e+01	8.102609e+02
3.533831e-04	6.275000e+01	6.724121e+02
3.533831e-04	6.300000e+01	4.401917e+02
3.533831e-04	6.325000e+01	2.865006e+02
3.533831e-04	6.350000e+01	2.135724e+02
3.533831e-04	6.375000e+01	9.939927e+01
3.533831e-04	6.400000e+01	0.000000e+00
3.533831e-04	6.425000e+01	2.699242e+00
3.533831e-04	6.450000e+01	7.410010e+00
3.533831e-04	6.475000e+01	5.844667e+01
3.533831e-04	6.500000e+01	1.394670e+02
3.533831e-04	6.525000e+01	3.064620e+02
